image_path,split,true_label,resnet_cx,resnet_cy,densenet_cx,densenet_cy,eff_cx,eff_cy,dist_resnet_to_mean,dist_dense_to_mean,dist_eff_to_mean
data\dataset_cls\train\Fractured\IMG0002731.jpg,train,Fractured,0.297443,0.33919,0.552734,0.495625,0.627995,0.330176,0.201369,0.122936,0.147242
data\dataset_cls\train\Fractured\IMG0002732.jpg,train,Fractured,0.575815,0.336168,0.608168,0.446932,0.554529,0.463825,0.079559,0.042435,0.054272
data\dataset_cls\train\Fractured\IMG0002737.jpg,train,Fractured,0.563439,0.422165,0.599019,0.7698,0.441426,0.238038,0.061649,0.300121,0.256185
data\dataset_cls\train\Fractured\IMG0002738.jpg,train,Fractured,0.676771,0.383815,0.460616,0.508879,0.762559,0.3835,0.060146,0.191818,0.135865
data\dataset_cls\train\Fractured\IMG0002745.jpg,train,Fractured,0.510452,0.353368,0.426776,0.333441,0.466469,0.37404,0.042554,0.045805,0.020474
data\dataset_cls\train\Fractured\IMG0002746.jpg,train,Fractured,0.683218,0.321584,0.751947,0.501294,0.739972,0.528466,0.135482,0.057524,0.079433
data\dataset_cls\train\Fractured\IMG0002749.jpg,train,Fractured,0.517026,0.697694,0.587877,0.633642,0.649389,0.625847,0.08149,0.019009,0.069865
data\dataset_cls\train\Fractured\IMG0002750.jpg,train,Fractured,0.542643,0.574006,0.449064,0.610222,0.543563,0.560173,0.031775,0.068973,0.038277
data\dataset_cls\train\Fractured\IMG0002768.jpg,train,Fractured,0.599521,0.346363,0.592864,0.436257,0.427096,0.42295,0.081504,0.063216,0.114688
data\dataset_cls\train\Fractured\IMG0002790.jpg,train,Fractured,0.558264,0.515563,0.551754,0.511872,0.576173,0.589621,0.023761,0.029039,0.052532
data\dataset_cls\train\Fractured\IMG0002791.jpg,train,Fractured,0.562801,0.472486,0.491256,0.489653,0.559626,0.532994,0.035927,0.047447,0.040872
data\dataset_cls\train\Fractured\IMG0002809.jpg,train,Fractured,0.477287,0.22585,0.492439,0.324529,0.402933,0.324314,0.068613,0.047997,0.063686
data\dataset_cls\train\Fractured\IMG0002810.jpg,train,Fractured,0.562251,0.413482,0.550996,0.545057,0.521998,0.30325,0.018585,0.124601,0.119595
data\dataset_cls\train\Fractured\IMG0002831.jpg,train,Fractured,0.636543,0.420299,0.522975,0.618033,0.578037,0.503249,0.109744,0.118371,0.010674
data\dataset_cls\train\Fractured\IMG0002832.jpg,train,Fractured,0.495282,0.461493,0.502817,0.689434,0.476545,0.595234,0.120618,0.10797,0.01997
data\dataset_cls\train\Fractured\IMG0002833.jpg,train,Fractured,0.537659,0.407953,0.594014,0.417686,0.653419,0.358279,0.058896,0.023069,0.068784
data\dataset_cls\train\Fractured\IMG0002834.jpg,train,Fractured,0.508714,0.455082,0.573606,0.635086,0.487614,0.620406,0.116031,0.082103,0.06161
data\dataset_cls\train\Fractured\IMG0002840.jpg,train,Fractured,0.383131,0.214001,0.590963,0.501369,0.568399,0.379058,0.199782,0.156674,0.056075
data\dataset_cls\train\Fractured\IMG0002846.jpg,train,Fractured,0.480632,0.530474,0.460069,0.435851,0.512521,0.494562,0.043675,0.05661,0.029122
data\dataset_cls\train\Fractured\IMG0002847.jpg,train,Fractured,0.552952,0.491511,0.486051,0.471561,0.540176,0.530833,0.027333,0.048217,0.035638
data\dataset_cls\train\Fractured\IMG0002848.jpg,train,Fractured,0.590442,0.332941,0.496639,0.54157,0.640033,0.596206,0.157987,0.094267,0.123964
data\dataset_cls\train\Fractured\IMG0002849.jpg,train,Fractured,0.60634,0.633898,0.520859,0.669275,0.62733,0.480802,0.044743,0.098293,0.121525
data\dataset_cls\train\Fractured\IMG0002885.jpg,train,Fractured,0.451296,0.392779,0.465128,0.341929,0.576972,0.27442,0.073101,0.033139,0.100533
data\dataset_cls\train\Fractured\IMG0002886.jpg,train,Fractured,0.517224,0.420058,0.495904,0.362502,0.568664,0.578041,0.034949,0.096282,0.13121
data\dataset_cls\train\Fractured\IMG0002904.jpg,train,Fractured,0.673954,0.657355,0.543911,0.474738,0.580836,0.657344,0.096122,0.13386,0.063682
data\dataset_cls\train\Fractured\IMG0002905.jpg,train,Fractured,0.500745,0.25548,0.418328,0.177436,0.488701,0.318717,0.031871,0.0891,0.070891
data\dataset_cls\train\Fractured\IMG0002934.jpg,train,Fractured,0.540066,0.439734,0.622917,0.500395,0.709867,0.457095,0.088142,0.03468,0.08602
data\dataset_cls\train\Fractured\IMG0002935.jpg,train,Fractured,0.236645,0.244735,0.685189,0.475227,0.497901,0.392876,0.268158,0.236209,0.032998
data\dataset_cls\train\Fractured\IMG0002945.jpg,train,Fractured,0.575368,0.538091,0.584846,0.525781,0.582488,0.573187,0.009397,0.020293,0.027547
data\dataset_cls\train\Fractured\IMG0002946.jpg,train,Fractured,0.538738,0.344865,0.495689,0.429742,0.542401,0.572049,0.104846,0.03552,0.124303
data\dataset_cls\train\Fractured\IMG0002970.jpg,train,Fractured,0.840896,0.547935,0.485168,0.57475,0.516604,0.393404,0.230637,0.146526,0.148541
data\dataset_cls\train\Fractured\IMG0002971.jpg,train,Fractured,0.269584,0.388062,0.473834,0.458721,0.399022,0.491079,0.125393,0.093893,0.048661
data\dataset_cls\train\Fractured\IMG0002979.jpg,train,Fractured,0.392756,0.346846,0.570148,0.779735,0.461254,0.59209,0.240446,0.227797,0.023451
data\dataset_cls\train\Fractured\IMG0002980.jpg,train,Fractured,0.525627,0.7898,0.426748,0.80763,0.466112,0.483252,0.109771,0.123025,0.210415
data\dataset_cls\train\Fractured\IMG0002987.jpg,train,Fractured,0.625548,0.41153,0.458905,0.702863,0.493381,0.505735,0.162592,0.176082,0.047302
data\dataset_cls\train\Fractured\IMG0002998.jpg,train,Fractured,0.66717,0.501916,0.493519,0.301906,0.538502,0.235486,0.185281,0.085406,0.114403
data\dataset_cls\train\Fractured\IMG0002999.jpg,train,Fractured,0.611943,0.448847,0.642476,0.53125,0.605048,0.442703,0.026612,0.061321,0.034851
data\dataset_cls\train\Fractured\IMG0003000.jpg,train,Fractured,0.548474,0.570346,0.617001,0.683066,0.501035,0.384718,0.025299,0.15019,0.170272
data\dataset_cls\train\Fractured\IMG0003001.jpg,train,Fractured,0.697501,0.369581,0.60859,0.688334,0.57559,0.501508,0.165851,0.169554,0.054783
data\dataset_cls\train\Fractured\IMG0003020.jpg,train,Fractured,0.555411,0.403525,0.528504,0.310261,0.552809,0.536364,0.016455,0.107816,0.119866
data\dataset_cls\train\Fractured\IMG0003021.jpg,train,Fractured,0.62894,0.303512,0.603835,0.304024,0.611003,0.429321,0.044484,0.042963,0.083779
data\dataset_cls\train\Fractured\IMG0003034.jpg,train,Fractured,0.516891,0.362409,0.344887,0.573444,0.420564,0.432819,0.12962,0.143376,0.024396
data\dataset_cls\train\Fractured\IMG0003035.jpg,train,Fractured,0.55103,0.403432,0.467475,0.531838,0.49931,0.600027,0.117343,0.043386,0.08851
data\dataset_cls\train\Fractured\IMG0003070.jpg,train,Fractured,0.493004,0.500315,0.486839,0.560963,0.4423,0.422322,0.019819,0.06765,0.078882
data\dataset_cls\train\Fractured\IMG0003077.jpg,train,Fractured,0.51935,0.516452,0.524853,0.780627,0.345178,0.468105,0.091306,0.201899,0.168468
data\dataset_cls\train\Fractured\IMG0003093.jpg,train,Fractured,0.581754,0.39683,0.512768,0.465756,0.619912,0.422899,0.033291,0.069536,0.048756
data\dataset_cls\train\Fractured\IMG0003094.jpg,train,Fractured,0.537234,0.441034,0.532518,0.412759,0.577076,0.459165,0.012187,0.029823,0.035415
data\dataset_cls\train\Fractured\IMG0003101.jpg,train,Fractured,0.551695,0.392834,0.503946,0.491262,0.621832,0.506981,0.07125,0.061712,0.07617
data\dataset_cls\train\Fractured\IMG0003102.jpg,train,Fractured,0.484821,0.403822,0.457666,0.433235,0.467909,0.480442,0.038275,0.013805,0.041335
data\dataset_cls\train\Fractured\IMG0003111.jpg,train,Fractured,0.494683,0.298801,0.471931,0.374714,0.521052,0.474138,0.083759,0.025207,0.094981
data\dataset_cls\train\Fractured\IMG0003112.jpg,train,Fractured,0.519436,0.405914,0.488928,0.462095,0.599153,0.473681,0.044454,0.04921,0.068617
data\dataset_cls\train\Fractured\IMG0003121.jpg,train,Fractured,0.411758,0.284515,0.416676,0.687247,0.603084,0.614094,0.252717,0.169773,0.152183
data\dataset_cls\train\Fractured\IMG0003130.jpg,train,Fractured,0.419992,0.398616,0.435735,0.389701,0.455296,0.403076,0.01708,0.007538,0.01923
data\dataset_cls\train\Fractured\IMG0003131.jpg,train,Fractured,0.529169,0.316898,0.571597,0.267143,0.706597,0.414546,0.075004,0.072603,0.132355
data\dataset_cls\train\Fractured\IMG0003132.jpg,train,Fractured,0.311323,0.510225,0.400195,0.474495,0.376713,0.60417,0.05496,0.066651,0.075837
data\dataset_cls\train\Fractured\IMG0003146.jpg,train,Fractured,0.482035,0.381093,0.489616,0.418779,0.509774,0.376643,0.016166,0.026936,0.022272
data\dataset_cls\train\Fractured\IMG0003147.jpg,train,Fractured,0.539641,0.364179,0.5188,0.465617,0.592038,0.413088,0.051208,0.060145,0.041896
data\dataset_cls\train\Fractured\IMG0003157.jpg,train,Fractured,0.611665,0.706803,0.469991,0.726119,0.751787,0.537784,0.049904,0.157214,0.184305
data\dataset_cls\train\Fractured\IMG0003164.jpg,train,Fractured,0.460115,0.455427,0.502988,0.57836,0.564619,0.424041,0.057832,0.092628,0.083058
data\dataset_cls\train\Fractured\IMG0003165.jpg,train,Fractured,0.558957,0.552274,0.545136,0.581949,0.576161,0.561069,0.012873,0.022526,0.016573
data\dataset_cls\train\Fractured\IMG0003171.jpg,train,Fractured,0.547483,0.361322,0.452596,0.435362,0.545312,0.405962,0.051105,0.07141,0.030606
data\dataset_cls\train\Fractured\IMG0003172.jpg,train,Fractured,0.594783,0.293838,0.519631,0.326639,0.55308,0.335115,0.046119,0.037097,0.016811
data\dataset_cls\train\Fractured\IMG0003182.jpg,train,Fractured,0.438882,0.42845,0.459689,0.343931,0.479066,0.519515,0.020447,0.086702,0.091073
data\dataset_cls\train\Fractured\IMG0003183.jpg,train,Fractured,0.601053,0.529695,0.466051,0.535853,0.479653,0.389477,0.096445,0.070985,0.102065
data\dataset_cls\train\Fractured\IMG0003184.jpg,train,Fractured,0.508944,0.730375,0.516498,0.35313,0.470546,0.372917,0.245117,0.13354,0.116016
data\dataset_cls\train\Fractured\IMG0003199.jpg,train,Fractured,0.60976,0.501185,0.536486,0.722598,0.557427,0.528015,0.092737,0.142177,0.056888
data\dataset_cls\train\Fractured\IMG0003200.jpg,train,Fractured,0.616749,0.668252,0.501546,0.654523,0.574261,0.457605,0.091416,0.087478,0.136228
data\dataset_cls\train\Fractured\IMG0003201.jpg,train,Fractured,0.549835,0.590677,0.642026,0.489689,0.46126,0.362231,0.109818,0.091412,0.148777
data\dataset_cls\train\Fractured\IMG0003213.jpg,train,Fractured,0.688127,0.589372,0.68418,0.666088,0.650608,0.375442,0.047781,0.122851,0.169853
data\dataset_cls\train\Fractured\IMG0003214.jpg,train,Fractured,0.371758,0.396619,0.282155,0.15439,0.637079,0.300307,0.127142,0.196713,0.207408
data\dataset_cls\train\Fractured\IMG0003217.jpg,train,Fractured,0.606197,0.430608,0.433151,0.499648,0.559388,0.577132,0.102634,0.0998,0.079224
data\dataset_cls\train\Fractured\IMG0003218.jpg,train,Fractured,0.61278,0.345633,0.465655,0.517099,0.512005,0.502745,0.137201,0.089418,0.050927
data\dataset_cls\train\Fractured\IMG0003219.jpg,train,Fractured,0.519682,0.54434,0.476736,0.448982,0.572725,0.390111,0.083264,0.047882,0.086681
data\dataset_cls\train\Fractured\IMG0003220.jpg,train,Fractured,0.475291,0.441025,0.442319,0.434467,0.573835,0.53616,0.036735,0.065638,0.100923
data\dataset_cls\train\Fractured\IMG0003233.jpg,train,Fractured,0.63445,0.34639,0.596094,0.444511,0.678966,0.529184,0.093661,0.040657,0.098751
data\dataset_cls\train\Fractured\IMG0003234.jpg,train,Fractured,0.613936,0.373658,0.597161,0.389564,0.624635,0.379389,0.007492,0.017122,0.01281
data\dataset_cls\train\Fractured\IMG0003254.jpg,train,Fractured,0.641673,0.486698,0.608468,0.286056,0.584528,0.386078,0.104839,0.100269,0.027029
data\dataset_cls\train\Fractured\IMG0003255.jpg,train,Fractured,0.653057,0.35998,0.604315,0.385575,0.605102,0.423744,0.043888,0.017034,0.037439
data\dataset_cls\train\Fractured\IMG0003264.jpg,train,Fractured,0.594544,0.527046,0.637941,0.733562,0.611382,0.490353,0.060063,0.151711,0.093356
data\dataset_cls\train\Fractured\IMG0003265.jpg,train,Fractured,0.632813,0.743413,0.640928,0.756055,0.638414,0.627771,0.034636,0.047109,0.081315
data\dataset_cls\train\Fractured\IMG0003266.jpg,train,Fractured,0.567967,0.272502,0.506334,0.225448,0.693978,0.338712,0.022389,0.098793,0.120458
data\dataset_cls\train\Fractured\IMG0003267.jpg,train,Fractured,0.561182,0.406256,0.490572,0.582462,0.649052,0.334186,0.035186,0.160786,0.134706
data\dataset_cls\train\Fractured\IMG0003279.jpg,train,Fractured,0.534141,0.322351,0.382282,0.536823,0.720879,0.344472,0.079716,0.212407,0.184076
data\dataset_cls\train\Fractured\IMG0003280.jpg,train,Fractured,0.763059,0.392308,0.470668,0.55138,0.669712,0.355376,0.134871,0.202097,0.085265
data\dataset_cls\train\Fractured\IMG0003293.jpg,train,Fractured,0.679207,0.392328,0.39819,0.666974,0.498288,0.45696,0.191048,0.20552,0.055446
data\dataset_cls\train\Fractured\IMG0003294.jpg,train,Fractured,0.562016,0.489208,0.564602,0.64031,0.714383,0.560308,0.090298,0.091333,0.100759
data\dataset_cls\train\Non_fractured\IMG0000000.jpg,train,Non_fractured,0.473995,0.518923,0.5,0.5,0.425127,0.369967,0.056476,0.050024,0.101733
data\dataset_cls\train\Non_fractured\IMG0000003.jpg,train,Non_fractured,0.648239,0.853099,1.0,1.0,0.442895,0.684034,0.049362,0.339981,0.301217
data\dataset_cls\train\Non_fractured\IMG0000004.jpg,train,Non_fractured,0.889078,0.834639,0.5,0.5,0.504428,0.373031,0.370085,0.148314,0.233569
data\dataset_cls\train\Non_fractured\IMG0000005.jpg,train,Non_fractured,0.648239,0.853099,1.0,1.0,0.442895,0.684034,0.049362,0.339981,0.301217
data\dataset_cls\train\Non_fractured\IMG0000007.jpg,train,Non_fractured,0.553329,0.352672,0.91751,0.302355,0.335559,0.474218,0.054273,0.323956,0.283949
data\dataset_cls\train\Non_fractured\IMG0000009.jpg,train,Non_fractured,0.489128,0.453989,0.5,0.5,0.572377,0.583111,0.066274,0.023943,0.087726
data\dataset_cls\train\Non_fractured\IMG0000010.jpg,train,Non_fractured,0.875296,0.097206,0.5,0.5,0.632762,0.568774,0.356873,0.202674,0.183793
data\dataset_cls\train\Non_fractured\IMG0000011.jpg,train,Non_fractured,0.382957,0.368383,0.573769,0.333333,0.559577,0.372626,0.122907,0.072689,0.056053
data\dataset_cls\train\Non_fractured\IMG0000012.jpg,train,Non_fractured,0.7635,0.435819,1.0,0.374475,0.468682,0.288167,0.072327,0.256075,0.286209
data\dataset_cls\train\Non_fractured\IMG0000015.jpg,train,Non_fractured,0.220878,0.150876,0.27175,0.651095,0.377605,0.433845,0.270078,0.239858,0.090227
data\dataset_cls\train\Non_fractured\IMG0000016.jpg,train,Non_fractured,0.810171,0.603522,0.893846,0.146156,0.536972,0.432898,0.218655,0.288247,0.213561
data\dataset_cls\train\Non_fractured\IMG0000017.jpg,train,Non_fractured,0.499321,0.531427,0.544841,0.886283,0.481234,0.546182,0.123543,0.234491,0.111815
data\dataset_cls\train\Non_fractured\IMG0000018.jpg,train,Non_fractured,0.326319,0.75324,0.50859,0.804729,0.570638,0.546324,0.151341,0.110799,0.185707
data\dataset_cls\train\Non_fractured\IMG0000020.jpg,train,Non_fractured,0.381651,0.580133,0.395962,0.890839,0.43255,0.418765,0.054318,0.261032,0.213151
data\dataset_cls\train\Non_fractured\IMG0000021.jpg,train,Non_fractured,0.368501,0.063853,0.5,0.5,0.513946,0.230047,0.220986,0.238606,0.063396
data\dataset_cls\train\Non_fractured\IMG0000022.jpg,train,Non_fractured,0.54605,0.241887,0.5,0.5,0.612043,0.522843,0.179813,0.094484,0.117374
data\dataset_cls\train\Non_fractured\IMG0000024.jpg,train,Non_fractured,0.533067,0.649851,0.0,1.0,0.588578,0.597683,0.187632,0.450221,0.262765
data\dataset_cls\train\Non_fractured\IMG0000026.jpg,train,Non_fractured,0.324584,0.343989,0.561012,0.819236,0.382746,0.301956,0.174629,0.358559,0.190688
data\dataset_cls\train\Non_fractured\IMG0000027.jpg,train,Non_fractured,0.593933,0.784287,0.0,1.0,0.267959,0.524604,0.306986,0.368253,0.245788
data\dataset_cls\train\Non_fractured\IMG0000029.jpg,train,Non_fractured,0.590372,0.432677,0.5,0.5,0.515928,0.406822,0.056651,0.06417,0.044213
data\dataset_cls\train\Non_fractured\IMG0000030.jpg,train,Non_fractured,0.864017,0.0,0.0,0.0,0.54755,0.322588,0.407922,0.482653,0.228437
data\dataset_cls\train\Non_fractured\IMG0000032.jpg,train,Non_fractured,0.392456,0.169512,0.020133,0.020133,0.390522,0.393386,0.1272,0.302722,0.233885
data\dataset_cls\train\Non_fractured\IMG0000033.jpg,train,Non_fractured,0.421262,0.338835,0.655687,0.876339,0.552323,0.397217,0.233014,0.357092,0.14055
data\dataset_cls\train\Non_fractured\IMG0000035.jpg,train,Non_fractured,0.813344,0.271053,1.0,0.08508,0.569419,0.357496,0.038276,0.256277,0.254676
data\dataset_cls\train\Non_fractured\IMG0000036.jpg,train,Non_fractured,0.547258,0.547258,0.0,0.333333,0.54175,0.519607,0.201083,0.386738,0.186404
data\dataset_cls\train\Non_fractured\IMG0000037.jpg,train,Non_fractured,0.561878,0.702365,0.614244,0.964315,0.470377,0.506633,0.025639,0.248636,0.231504
data\dataset_cls\train\Non_fractured\IMG0000038.jpg,train,Non_fractured,0.359213,0.632375,0.457588,0.133281,0.423232,0.532889,0.206739,0.302817,0.100528
data\dataset_cls\train\Non_fractured\IMG0000039.jpg,train,Non_fractured,0.885611,1.0,1.0,0.693335,0.527801,0.252999,0.360473,0.200542,0.482894
data\dataset_cls\train\Non_fractured\IMG0000042.jpg,train,Non_fractured,0.000954,0.21936,0.5,0.5,0.498019,0.573468,0.39372,0.180723,0.218054
data\dataset_cls\train\Non_fractured\IMG0000043.jpg,train,Non_fractured,0.701444,0.216208,0.0,0.921054,0.63494,0.30235,0.367485,0.62696,0.259646
data\dataset_cls\train\Non_fractured\IMG0000045.jpg,train,Non_fractured,0.83191,0.064755,0.5,0.5,0.537542,0.362546,0.32138,0.227176,0.100923
data\dataset_cls\train\Non_fractured\IMG0000046.jpg,train,Non_fractured,0.580343,0.41837,0.573725,0.410306,0.366447,0.405092,0.073848,0.066894,0.140526
data\dataset_cls\train\Non_fractured\IMG0000047.jpg,train,Non_fractured,0.841741,0.375948,0.833333,0.779271,0.637589,0.458743,0.176853,0.249233,0.155075
data\dataset_cls\train\Non_fractured\IMG0000048.jpg,train,Non_fractured,0.542765,0.457235,0.642427,0.740853,0.492686,0.386458,0.072847,0.228342,0.156595
data\dataset_cls\train\Non_fractured\IMG0000049.jpg,train,Non_fractured,0.568756,0.209356,0.5,0.5,0.388648,0.36043,0.169,0.144106,0.097229
data\dataset_cls\train\Non_fractured\IMG0000051.jpg,train,Non_fractured,0.597506,0.31426,0.484432,0.902427,0.569832,0.442077,0.243229,0.355712,0.112503
data\dataset_cls\train\Non_fractured\IMG0000052.jpg,train,Non_fractured,0.608828,0.275541,1.0,0.080755,0.673217,0.653537,0.163674,0.350336,0.328774
data\dataset_cls\train\Non_fractured\IMG0000053.jpg,train,Non_fractured,0.182052,0.088519,0.897035,0.770877,0.687212,0.495579,0.54524,0.443768,0.107799
data\dataset_cls\train\Non_fractured\IMG0000054.jpg,train,Non_fractured,0.744765,0.27767,0.5,0.5,0.49855,0.375581,0.195396,0.1412,0.083027
data\dataset_cls\train\Non_fractured\IMG0000055.jpg,train,Non_fractured,0.664675,0.526604,0.673842,0.828069,0.671596,0.528342,0.101209,0.200433,0.099342
data\dataset_cls\train\Non_fractured\IMG0000056.jpg,train,Non_fractured,0.532625,0.595292,0.5,0.5,0.534246,0.384311,0.102613,0.023304,0.109544
data\dataset_cls\train\Non_fractured\IMG0000060.jpg,train,Non_fractured,0.903983,0.254162,0.5,0.5,0.55479,0.368581,0.2783,0.197989,0.098297
data\dataset_cls\train\Non_fractured\IMG0000061.jpg,train,Non_fractured,0.0,0.162339,0.5,0.5,0.358462,0.503796,0.364868,0.241071,0.135915
data\dataset_cls\train\Non_fractured\IMG0000062.jpg,train,Non_fractured,0.192663,0.673647,0.899311,0.427566,0.496996,0.60278,0.353166,0.39543,0.047713
data\dataset_cls\train\Non_fractured\IMG0000063.jpg,train,Non_fractured,0.536603,0.61983,0.273024,0.262135,0.54368,0.477849,0.187222,0.261237,0.095785
data\dataset_cls\train\Non_fractured\IMG0000064.jpg,train,Non_fractured,0.510727,0.422299,0.77401,0.718347,0.471059,0.325171,0.099762,0.297331,0.199384
data\dataset_cls\train\Non_fractured\IMG0000065.jpg,train,Non_fractured,0.70009,0.583619,0.5,0.5,0.454421,0.23579,0.206787,0.079223,0.225934
data\dataset_cls\train\Non_fractured\IMG0000067.jpg,train,Non_fractured,0.496802,0.162441,0.655574,0.910915,0.439272,0.317864,0.303183,0.464324,0.17208
data\dataset_cls\train\Non_fractured\IMG0000068.jpg,train,Non_fractured,0.054157,0.605235,0.5,0.5,0.469973,0.43152,0.301896,0.159096,0.151837
data\dataset_cls\train\Non_fractured\IMG0000069.jpg,train,Non_fractured,0.102848,0.615693,0.486287,0.549867,0.655964,0.38548,0.32741,0.078464,0.274497
data\dataset_cls\train\Non_fractured\IMG0000070.jpg,train,Non_fractured,0.15222,0.734868,0.350233,0.649767,0.585521,0.351941,0.26196,0.071988,0.318056
data\dataset_cls\train\Non_fractured\IMG0000071.jpg,train,Non_fractured,0.790608,0.166459,0.5,0.5,0.547476,0.52827,0.292194,0.151838,0.145466
data\dataset_cls\train\Non_fractured\IMG0000072.jpg,train,Non_fractured,0.546076,0.438752,0.130007,0.129487,0.366392,0.560717,0.208167,0.328976,0.185364
data\dataset_cls\train\Non_fractured\IMG0000073.jpg,train,Non_fractured,0.923836,0.132797,0.5,0.5,0.321545,0.497402,0.420116,0.147936,0.286863
data\dataset_cls\train\Non_fractured\IMG0000074.jpg,train,Non_fractured,0.785846,0.026232,0.965719,0.075413,0.474375,0.367615,0.137379,0.237952,0.340905
data\dataset_cls\train\Non_fractured\IMG0000075.jpg,train,Non_fractured,0.881755,0.239231,0.481135,0.786311,0.387925,0.38946,0.378048,0.330909,0.212247
data\dataset_cls\train\Non_fractured\IMG0000076.jpg,train,Non_fractured,0.953187,0.467317,1.0,0.320514,0.386359,0.472081,0.179688,0.241575,0.396925
data\dataset_cls\train\Non_fractured\IMG0000077.jpg,train,Non_fractured,0.6454,0.21365,0.5,0.5,0.623786,0.471027,0.1896,0.138199,0.083405
data\dataset_cls\train\Non_fractured\IMG0000078.jpg,train,Non_fractured,0.790598,0.112792,0.5,0.5,0.619063,0.488077,0.297202,0.19065,0.122377
data\dataset_cls\train\Non_fractured\IMG0000079.jpg,train,Non_fractured,0.918228,0.213007,0.795955,0.079397,0.541479,0.591612,0.185306,0.219739,0.36393
data\dataset_cls\train\Non_fractured\IMG0000080.jpg,train,Non_fractured,0.432615,0.436257,0.437515,0.665823,0.541434,0.413433,0.078651,0.164007,0.11595
data\dataset_cls\train\Non_fractured\IMG0000081.jpg,train,Non_fractured,0.681646,0.530418,0.809963,0.477802,0.579922,0.532296,0.019095,0.124674,0.112173
data\dataset_cls\train\Non_fractured\IMG0000082.jpg,train,Non_fractured,0.527668,0.069858,0.833333,0.833333,0.455292,0.499865,0.405356,0.430857,0.153549
data\dataset_cls\train\Non_fractured\IMG0000083.jpg,train,Non_fractured,0.409836,0.398256,0.833333,0.833333,0.361006,0.295576,0.166954,0.440821,0.27523
data\dataset_cls\train\Non_fractured\IMG0000084.jpg,train,Non_fractured,0.936421,0.274948,1.0,0.874214,0.467913,0.678233,0.360413,0.331199,0.340614
data\dataset_cls\train\Non_fractured\IMG0000086.jpg,train,Non_fractured,0.345681,0.290939,0.049093,0.916746,0.510408,0.45948,0.268406,0.440639,0.229804
data\dataset_cls\train\Non_fractured\IMG0000087.jpg,train,Non_fractured,0.480185,0.347518,1.0,0.208915,0.538056,0.373682,0.196176,0.342521,0.14897
data\dataset_cls\train\Non_fractured\IMG0000088.jpg,train,Non_fractured,0.532119,0.834093,0.0,0.476752,0.382301,0.446269,0.336702,0.323694,0.159524
data\dataset_cls\train\Non_fractured\IMG0000089.jpg,train,Non_fractured,0.278172,0.148091,0.95068,0.833333,0.685155,0.353766,0.466552,0.498519,0.102755
data\dataset_cls\train\Non_fractured\IMG0000090.jpg,train,Non_fractured,0.718855,0.332804,0.5,0.5,0.636446,0.419467,0.13132,0.14438,0.018128
data\dataset_cls\train\Non_fractured\IMG0000091.jpg,train,Non_fractured,0.719246,0.826761,0.867423,0.085101,0.583645,0.468862,0.366544,0.401823,0.140058
data\dataset_cls\train\Non_fractured\IMG0000094.jpg,train,Non_fractured,0.5773,0.196318,0.625768,0.487888,0.50372,0.556471,0.217402,0.093571,0.157086
data\dataset_cls\train\Non_fractured\IMG0000095.jpg,train,Non_fractured,0.588229,0.862113,0.875759,0.801027,0.489141,0.408754,0.182624,0.250368,0.325065
data\dataset_cls\train\Non_fractured\IMG0000096.jpg,train,Non_fractured,0.128304,0.964004,0.833333,0.333333,0.606501,0.574264,0.520818,0.425318,0.09737
data\dataset_cls\train\Non_fractured\IMG0000097.jpg,train,Non_fractured,0.588498,0.973471,0.820303,0.68643,0.593798,0.533889,0.254777,0.159213,0.210698
data\dataset_cls\train\Non_fractured\IMG0000098.jpg,train,Non_fractured,0.468354,0.444666,0.954818,0.866193,0.653896,0.481002,0.271054,0.375762,0.12248
data\dataset_cls\train\Non_fractured\IMG0000099.jpg,train,Non_fractured,0.640691,0.622275,0.873621,1.0,0.467411,0.400987,0.055808,0.38909,0.33478
data\dataset_cls\train\Non_fractured\IMG0000101.jpg,train,Non_fractured,0.860152,0.261965,0.322529,0.0,0.541613,0.439436,0.286774,0.343927,0.208291
data\dataset_cls\train\Non_fractured\IMG0000102.jpg,train,Non_fractured,0.518015,0.0,0.0,0.0,0.316205,0.403504,0.275068,0.308894,0.271692
data\dataset_cls\train\Non_fractured\IMG0000103.jpg,train,Non_fractured,0.817409,0.370907,0.5,0.5,0.637874,0.281041,0.166163,0.191027,0.103874
data\dataset_cls\train\Non_fractured\IMG0000105.jpg,train,Non_fractured,0.043395,0.130084,0.121553,0.285088,0.528597,0.239121,0.207389,0.128476,0.298157
data\dataset_cls\train\Non_fractured\IMG0000106.jpg,train,Non_fractured,0.913076,0.231107,0.833333,0.833333,0.731909,0.453602,0.288336,0.327399,0.107796
data\dataset_cls\train\Non_fractured\IMG0000107.jpg,train,Non_fractured,0.475407,0.500566,0.833333,0.833333,0.665204,0.383611,0.196235,0.314294,0.18903
data\dataset_cls\train\Non_fractured\IMG0000111.jpg,train,Non_fractured,0.696107,0.672956,0.5,0.5,0.479398,0.332395,0.219625,0.058529,0.186949
data\dataset_cls\train\Non_fractured\IMG0000112.jpg,train,Non_fractured,0.49851,0.393793,0.0,0.166667,0.529007,0.360209,0.178576,0.370098,0.193973
data\dataset_cls\train\Non_fractured\IMG0000113.jpg,train,Non_fractured,0.496861,0.271519,0.5,0.5,0.468574,0.52344,0.160353,0.069311,0.09392
